NO_OF_SAMPLES	24000
FREQUENCY	1200
TIME_STAMP	2020-01-28, 14:27:43.885	5208.83582520
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11053M
FORCE_PLATE_CORNER_POSX_POSY_X	353.011101
FORCE_PLATE_CORNER_POSX_POSY_Y	1295.030594
FORCE_PLATE_CORNER_POSX_POSY_Z	-2.601500
FORCE_PLATE_CORNER_NEGX_POSY_X	747.085989
FORCE_PLATE_CORNER_NEGX_POSY_Y	1294.596434
FORCE_PLATE_CORNER_NEGX_POSY_Z	-2.692300
FORCE_PLATE_CORNER_NEGX_NEGY_X	746.431708
FORCE_PLATE_CORNER_NEGX_NEGY_Y	700.785577
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-2.136100
FORCE_PLATE_CORNER_POSX_NEGY_X	352.357000
FORCE_PLATE_CORNER_POSX_NEGY_Y	701.219738
FORCE_PLATE_CORNER_POSX_NEGY_Z	-2.045300
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
53	0.04333	-3.687622	-4.654541	-11.536133	-2.402222	-2.054565	-1.580872	-178.098282	208.234572	0.000000	
54	0.04417	-3.503052	-4.204834	-14.443848	-2.553345	-2.116821	-1.561646	-146.555221	176.777323	0.000000	
55	0.04500	-3.502930	-4.025146	-13.356445	-2.559326	-2.117310	-1.599121	-158.523434	191.617314	0.000000	
56	0.04583	-3.595459	-4.564697	-13.714355	-2.539673	-2.085327	-1.543152	-152.054331	185.183537	0.000000	
57	0.04667	-3.053223	-3.757813	-13.726563	-2.746094	-2.100830	-1.561829	-153.048520	200.056915	0.000000	
58	0.04750	-3.057373	-4.298340	-12.996582	-2.770142	-2.135986	-1.524719	-164.349852	213.143855	0.000000	
59	0.04833	-2.876221	-4.119141	-14.088867	-2.556030	-2.023804	-1.580383	-143.645595	181.421987	0.000000	
60	0.04917	-3.863647	-4.472900	-13.349609	-2.675537	-2.060425	-1.524658	-154.343453	200.420629	0.000000	
61	0.05000	-3.146240	-4.027832	-11.909180	-2.425415	-1.999939	-1.543518	-167.932554	203.659287	0.000000	
62	0.05083	-3.237305	-4.387207	-12.631348	-2.589478	-2.142822	-1.580688	-169.643202	205.004059	0.000000	
63	0.05167	-3.235596	-3.937256	-11.546387	-2.605347	-2.143433	-1.487793	-185.636656	225.641730	0.000000	
64	0.05250	-3.501709	-4.114746	-15.170410	-2.601440	-2.186523	-1.505615	-144.130806	171.481219	0.000000	
